1832,203309,60461
Alabama,AL,7,14291
Connecticut,CT,8,32833
Delaware,DE,3,8386
Georgia,GA,11,20750
Illinois,IL,5,21481
Indiana,IN,9,47023
Kentucky,KY,15,79741
Louisiana,LA,5,6337
Maine,ME,10,62153
Maryland,MD,10,38316
Massachusetts,MA,14,60588
Mississippi,MS,4,5750
Missouri,MO,4,5192
New Hampshire,NH,7,43793
New Jersey,NJ,8,47760
New York,NY,42,323393
North Carolina,NC,15,29799
Ohio,OH,21,158294
Pennsylvania,PA,30,158638
Rhode Island,RI,4,4936
South Carolina,SC,11,50699
Tennessee,TN,15,29425
Vermont,VT,7,32128
Virginia,VA,23,45682
